Blog	four	every	even	new	ever	never	here	would	music	me	room	work	my	want	keep	how	after	over	before	better	then	them	they	each	mean	used	re	got	free	created	days	isn	already	another	service	top	too	took	project	though	don	m	pope	just	watch	bad	best	said	against	games	com	asked	appeared	three	been	much	life	easy	if	things	make	left	yet	had	has	online	night	right	old	people	post	months	o	down	support	way	was	war	head	tell	check	no	when	together	time	global	everything	did	cost	goes	[	love	working	only	live	going	today	car	can	may	such	man	so	course	still	group	interview	not	now	name	year	looking	internet	million	quite	place	think	first	long	open	little	white	short	than	were	say	any	take	america	]	show	help	get	where	ways	between	come	many	according	west	photos	those	case	these	someone	different	same	week	without	being	money	blog	real	around	read	world	business	or	your	her	there	start	lot	ad	am	an	again	building	all	month	thursday	th	woman	very	list	small	past	will	what	full	hours	put	two	more	company	media	through	its	actually	might	good	always	hard	idea	thing	really	since	feel	story	part	also	most	find	sure	his	during	him	set	art	see	are	won	probably	both	simple	look	while	person	using	big	game	d	google	often	some	back	by	into	up	us	doesn	train	once	go	does	facebook	video	let	great	makes	app	use	from	next	few	started	do	high	something	stop	including	ll	day	our	out	york	ask	could	their	need	which	who	why	face	should	means	years	she	we	email	news	last	ve	almost	site	off	i	well	less	web	book	government	know	like	because	twitter	home	getting	own	he	made	other
blog maverick	0	0	0	1	0	0	2	1	0	1	0	0	3	0	0	3	1	3	0	1	0	1	7	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	2	0	0	1	0	0	0	0	3	0	0	0	4	0	0	0	1	5	1	0	0	0	0	0	0	5	0	0	0	0	2	0	0	5	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	1	0	3	1	0	0	1	0	1	0	0	0	0	8	5	0	0	0	1	2	3	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	3	1	0	0	3	1	0	0	0	1	3	3	4	2	0	4	0	3	0	2	1	2	0	3	0	0	1	0	0	0	0	0	1	2	0	0	2	0	2	0	2	0	1	1	0	2	1	0	0	0	0	2	0	1	2	0	2	2	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	5	0	2	0	3	1	1	0	0	0	2	1	3	0	0	0	2	1	0	1	3	1	1	1	1	0	2	1	0	0	0	0	0	0	13	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0
plasticbag.org	0	0	0	2	1	0	1	0	1	1	0	0	3	0	0	1	0	2	0	1	0	3	1	0	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	1	0	1	1	1	0	1	0	4	1	1	0	0	1	1	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	5	0	1	0	0	2	0	0	0	0	0	2	0	0	1	0	1	2	0	2	0	0	6	0	0	1	1	0	2	0	0	0	0	0	0	0	6	0	0	0	0	1	1	0	0	2	0	0	0	1	0	10	2	1	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	1	0	0	6	0	1	1	2	2	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	1	0	0	1	1	0	1	0	0	3	0	1	3	1	0	0	2	0	2	0	4	0	1	3	3	0	0	0	16	0	0	0	0	0	2	2	0	1	0	1	0	1	1	0
Autoblog	1	0	0	19	0	0	1	0	3	0	1	0	0	1	1	4	0	1	1	0	0	0	1	3	0	2	1	3	0	0	0	0	1	2	6	6	0	0	0	0	1	3	0	2	3	0	1	0	6	0	0	0	40	2	0	0	0	0	1	0	0	0	5	0	5	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	2	0	5	0	1	0	1	1	1	1	0	0	1	6	0	1	0	4	7	9	0	0	0	1	3	0	1	1	1	3	5	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	5	0	0	2	0	8	1	0	0	0	1	1	3	1	0	0	0	0	0	1	4	1	0	0	0	4	1	0	6	0	1	1	0	3	3	1	2	0	4	2	0	5	1	0	0	0	0	0	0	0	5	3	3	0	0	0	5	8	0	2	10	3	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	2	0	2	0	40	1	1	0	0	0	3	1	0	0	1	1	0	0	0	1	2	8	2	6	13	0	0	1	0	0	0	5	0	0	0	0	40	8	5	0	0	0	0	0	4	1	0	0	42	6	0	0	5	3	0	2	1	0	0	0	1	0	0	6	40	2	0	1	0	0	1	0	0	0	0	0	12	0	1	3	0	0	0	1	0	0	0
Gawker	2	2	0	8	0	2	4	1	0	0	2	1	8	1	0	2	2	1	1	0	0	7	2	1	0	0	1	0	0	0	3	1	0	1	0	0	0	0	0	1	3	1	6	2	1	0	7	1	0	0	2	1	0	2	2	2	1	0	1	1	0	0	2	0	3	1	2	0	0	3	2	0	0	2	0	0	11	0	2	0	0	3	4	1	1	0	1	1	0	1	0	0	0	0	2	1	3	0	4	0	0	5	5	1	0	0	0	4	4	2	2	0	3	0	0	0	1	3	2	0	0	1	0	1	7	1	1	1	3	0	0	2	1	0	0	0	0	2	2	0	2	1	0	1	0	0	0	3	1	1	0	0	0	4	27	1	0	1	0	13	2	1	1	0	0	2	0	2	4	0	4	0	2	1	0	1	1	8	3	0	2	2	4	26	0	0	4	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	4	0	3	1	0	0	0	1	7	1	0	0	1	0	1	0	0	0	0	2	0	0	2	1	7	0	2	7	0	0	1	0	1	2	0	0	4	0	2	2	4	1	1	0	1	0	0	0	0	4	3	2	3	2	0	1	3	1	3	8	1	1	0	0	1	5	7	2	2	1	0	0	0	0	10	1	1	1	2	1	3	2	2	1	0	0	1	0	1	0
Google Blogoscoped	0	1	4	8	0	1	2	11	0	4	1	1	7	2	0	5	0	1	0	0	3	4	7	3	0	2	5	0	2	0	0	1	1	2	6	1	2	1	0	3	4	2	0	6	0	0	4	2	0	1	0	1	0	0	4	4	0	1	8	1	3	1	1	3	1	1	0	1	0	3	2	0	0	1	0	1	6	0	0	0	0	6	4	1	4	0	0	1	0	1	0	2	2	2	1	2	1	1	10	1	0	0	7	0	0	7	0	5	4	2	0	0	0	0	0	2	0	2	1	2	0	0	0	1	1	0	3	1	0	2	1	0	5	1	0	0	1	0	0	0	0	3	1	1	1	2	1	0	0	0	0	1	0	2	2	1	0	7	8	0	5	1	0	0	1	5	0	0	5	0	0	0	0	1	1	1	2	1	6	2	0	1	3	4	0	0	1	1	2	0	0	2	0	3	1	0	0	1	0	0	2	3	3	0	1	0	0	1	0	4	6	0	2	2	1	1	1	0	4	0	2	2	28	1	3	3	4	3	3	1	0	0	1	1	0	0	0	2	0	1	4	3	7	1	1	0	3	0	2	0	0	6	3	3	2	0	0	1	4	2	5	5	0	0	0	0	1	0	12	0	1	0	4	0	4	0	18	2	1	4	0	0	2	6	5	0	1	0	0	2	2	4
Deadspin	0	3	1	2	1	2	4	1	0	0	2	1	2	2	1	1	6	1	2	1	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	1	2	0	2	1	4	0	4	4	1	1	4	2	1	3	1	0	1	1	2	0	3	0	4	1	2	2	2	3	3	1	3	1	0	4	1	0	2	0	2	1	7	3	3	1	0	1	4	0	6	0	1	0	0	2	0	0	0	1	1	1	5	1	4	0	1	1	3	2	0	2	0	3	2	0	1	1	0	2	0	0	2	2	1	0	0	0	1	4	3	0	1	1	2	0	2	1	6	0	1	1	1	1	0	0	0	3	3	2	0	0	0	0	2	1	2	0	0	2	26	1	0	7	2	1	2	0	1	0	0	1	1	0	4	0	2	0	1	0	0	0	0	3	2	0	2	2	2	28	5	1	1	4	0	2	2	1	2	1	1	2	0	0	3	1	3	1	1	0	9	1	3	0	0	0	7	0	2	1	0	1	0	0	0	0	8	1	0	0	4	3	11	1	8	7	0	0	0	2	0	2	6	0	4	3	0	1	10	0	0	2	2	0	2	2	0	1	2	2	2	0	0	0	6	2	2	4	1	0	3	1	2	1	9	2	0	2	0	0	0	2	2	1	0	0	0	0	5	3	3	2	0	1	2	5	1	1
TMZ.com	0	0	2	2	1	1	2	0	0	0	0	0	1	0	1	0	2	2	0	1	0	1	4	0	0	1	2	3	0	0	0	0	0	3	0	1	2	0	0	1	0	0	1	4	0	0	2	2	0	0	0	0	0	0	3	0	2	0	2	0	2	0	0	3	7	0	0	0	4	3	0	0	2	4	0	1	4	0	2	1	1	3	1	0	4	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	4	3	1	1	0	0	4	3	2	4	0	0	0	0	1	0	1	1	0	1	1	3	2	1	0	1	0	0	0	0	2	3	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	10	3	0	1	0	0	1	0	0	1	0	3	0	0	1	0	0	0	4	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	2	1	1	0	0	2	0	0	0	2	12	1	2	1	0	0	2	1	0	0	0	0	2	0	0	1	0	0	0	0	1	2	4	0	3	3	3	0	0	0	1	0	4	1	0	1	0	0	3	1	0	0	2	2	1	0	0	1	1	1	5	1	0	1	1	0	0	3	0	0	0	0	0	1	2	0	1	1	1	0	0	3	5	0	0	0	0	0	1	4	1	0	0	2	0	13	1	1
kottke.org	5	7	11	12	4	2	11	19	3	10	0	4	6	4	1	11	6	7	5	1	9	7	15	3	3	6	3	2	0	2	0	2	4	3	1	0	7	6	2	1	8	1	6	10	2	0	8	7	0	3	1	0	0	3	7	5	3	0	16	5	5	3	3	7	17	4	0	5	4	10	3	1	4	9	0	8	29	2	1	2	2	5	12	4	14	4	1	2	1	0	0	3	1	7	0	2	2	3	15	3	6	8	10	3	1	4	1	18	11	1	7	3	2	1	2	6	10	7	2	3	5	2	3	5	8	3	2	5	2	0	1	3	5	4	1	1	3	5	1	2	7	7	1	5	2	4	2	0	6	7	3	0	1	7	1	8	2	22	10	9	21	3	4	0	2	25	0	2	11	2	0	0	2	5	3	3	2	4	12	0	0	2	3	19	1	2	9	9	2	3	3	3	0	1	7	4	3	0	2	7	10	9	3	0	18	2	2	4	6	7	33	3	3	2	2	8	2	6	8	5	7	1	0	3	8	4	24	15	10	8	1	4	3	5	0	0	30	1	1	4	2	5	43	2	4	2	4	2	7	3	4	1	1	10	11	2	3	5	13	0	11	16	2	4	2	3	9	10	20	0	0	4	10	2	4	5	52	6	0	1	6	1	5	18	4	0	3	0	4	9	14	13
O'Reilly Radar	1	0	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	5	0	0	0	0	0	1	0	2	7	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	5	0	0	1	0	1	0	1	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Lifehack	0	0	0	1	2	3	0	0	0	0	0	3	0	0	0	6	2	1	3	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	2	3	0	0	0	2	2	0	0	0	0	0	20	0	1	3	1	3	0	3	7	0	0	1	2	0	0	1	1	2	20	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	3	0	0	0	1	0	0	0	3	4	2	0	0	1	0	0	0	0	0	20	1	0	0	0	0	2	0	0	4	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	2	1	0	0	2	2	0	0	1	0	0	1	0	2	4	0	2	0	0	0	0	5	2	0	3	2	0	0	1	0	0	0	0	3	3	0	0	2	0	2	0	0	0	0	0	0	2	0	1	0	0	3	2	0	0	0	2	2	0	2	0	0	0	0	0	0	6	0	0	0	4	1	4	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	4	5	0	0	0	7	2	2	0	0	0	0	2	4	0	2	0	5	2	2	1	4	2	14	0	0	2	7	0	0	1	0	0	0	0	6	0	0	0	0	0	6	1	1	0	2	2	0	0	0	2
Lifehacker	0	6	0	2	4	1	5	0	2	0	2	5	0	1	2	5	0	0	3	2	1	2	3	1	1	0	5	1	0	0	0	2	1	0	0	0	1	0	0	0	6	1	0	2	2	0	9	0	0	0	0	0	0	0	2	3	0	0	7	1	4	1	1	0	3	1	2	1	0	1	1	0	0	3	0	2	0	0	1	1	2	3	5	0	7	0	2	0	0	1	0	0	1	0	1	2	5	1	12	1	1	0	1	1	2	0	0	2	1	0	4	1	0	0	0	0	1	1	2	0	1	0	0	4	1	0	0	3	0	0	1	3	6	1	1	2	0	1	0	0	2	2	0	1	2	3	0	1	0	1	5	0	0	4	26	2	0	6	19	0	1	1	3	2	0	1	0	0	2	0	0	1	0	1	1	0	0	5	8	0	0	2	1	28	0	0	1	1	1	1	5	0	0	1	1	2	0	2	0	0	3	3	2	1	0	0	0	0	0	0	8	0	1	1	1	0	1	2	2	2	0	0	4	1	6	2	4	1	6	7	0	0	0	1	0	1	0	0	3	1	4	4	4	0	0	0	6	0	1	0	0	3	2	0	3	0	0	0	2	5	1	1	2	0	1	0	1	2	7	0	0	0	2	0	1	2	2	3	1	2	0	0	3	5	0	1	2	1	2	0	0	2
Boing Boing	2	9	16	10	2	3	1	11	4	15	1	6	11	10	4	13	10	12	4	5	8	19	52	4	2	3	25	1	5	2	2	2	0	4	0	6	5	2	0	3	9	8	2	15	1	3	7	17	4	12	8	2	0	3	14	10	5	1	27	7	13	2	0	8	31	1	4	4	5	10	0	2	0	8	0	8	21	3	3	2	2	15	24	3	11	1	2	4	2	2	3	4	4	8	2	3	9	2	37	5	3	3	22	2	4	2	3	27	3	2	9	2	2	2	3	3	2	7	5	3	6	2	1	14	19	12	1	5	2	11	6	2	6	9	2	4	5	11	3	0	3	3	2	11	5	6	5	4	4	8	3	0	5	3	3	10	3	27	24	11	22	2	7	9	2	30	4	2	22	0	2	4	2	1	1	4	1	17	9	1	1	3	9	18	3	2	11	11	4	4	5	4	3	2	1	7	5	9	3	5	17	8	1	4	24	6	4	3	2	6	40	2	0	6	4	4	8	2	5	0	38	6	0	6	12	4	33	14	17	8	6	1	4	4	5	2	7	4	2	4	2	18	51	0	4	2	17	6	5	2	2	5	3	7	23	3	0	8	15	4	17	20	5	3	5	3	6	11	39	1	2	3	7	2	0	3	48	13	3	0	4	5	4	23	16	3	2	2	9	44	11	11
WIRED	0	0	0	10	0	2	3	1	3	0	0	0	0	3	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	3	3	0	4	0	0	0	0	0	20	0	1	0	2	0	1	3	3	0	2	0	0	0	0	0	3	0	20	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	3	0	2	0	6	0	0	0	0	20	0	2	0	0	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	2	0	0	2	1	0	2	3	0	0	0	0	3	0	0	1	0	2	3	0	1	0	0	2	0	3	0	0	1	2	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	4	0	0	2	1	0	0	3	0	0	0	0	0	0	3	2	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4	0	0	2	0	0	0	4	3	2	2	0	2	0	6	0	0	0	2	0	1	0	0	0	0	0	2	0	0	1	2	0	1	0	0	2	0	0	0	1	7	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Steve Pavlina's Personal Development Blog	0	0	0	3	0	0	2	3	0	3	0	0	4	0	0	6	1	0	0	1	0	1	0	1	0	0	4	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	1	3	0	5	1	3	0	1	0	0	0	1	0	1	0	0	6	1	0	0	0	0	1	5	0	0	0	0	1	2	0	1	0	0	0	0	0	10	0	0	1	1	1	1	0	4	0	0	0	2	1	2	0	0	1	1	0	3	1	0	0	0	0	1	1	4	1	1	0	0	1	3	0	0	1	1	0	0	1	0	1	0	0	1	4	0	0	0	1	0	0	0	1	0	1	3	3	3	0	0	0	0	1	0	3	10	0	2	0	2	0	1	6	0	0	0	1	0	1	0	0	0	0	1	1	4	0	0	0	0	3	1	4	1	2	1	0	1	0	0	0	0	0	4	2	0	0	1	1	2	0	0	0	0	2	0	1	2	0	0	1	2	1	0	5	0	0	0	0	1	0	3	0	4	2	2	2	0	0	0	1	0	2	0	3	1	0	0	0	1	0	0	0	2	0	0	0	1	4	3	1	3	1	2	0	2	0	1	1	3	0	0	2	1	0	6	2	0	4	1	0	1	2	16	0	0	0	0	0	1	2	0	1	0	0	1	0	0	1
Oilman	0	1	1	3	0	1	0	2	0	5	0	1	6	1	0	3	0	1	0	0	0	0	1	0	1	0	2	0	0	0	2	0	2	0	0	0	4	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	2	3	1	0	1	0	0	0	0	2	2	2	0	0	1	4	2	2	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	10	2	0	1	0	0	2	0	1	0	0	0	4	0	0	0	0	2	3	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	0	10	1	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	3	0	0	1	0	2	0	0	0	0	1	2	2	0	1	0	0	5	0	0	1	1	1	1	0	0	0	0	0	1	0	3	1	0	0	1	0	0	0	0	1	1	0	0	0	0	3	1	5	1	4	0	2	0	0	0	0	0	0	1	0	2	0	1	2	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	2	0	0	3	0	0	1	1	0	5	0	1	1	2	0	2	1	24	2	0	0	0	0	2	2	0	4	0	1	1	0	0	0
Guy Kawasaki	1	0	0	0	0	0	1	0	0	1	0	1	6	1	0	8	1	0	0	0	0	1	4	0	0	1	1	0	0	0	2	0	0	0	1	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	2	12	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	0	8	0	0	2	0	0	0	1	0	2	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	2	3	0	1	0	0	8	0	2	0	0	0	0	0	2	0	0	2	0	1	1	1	0	0	0	0	0	2	0	3	0	0	0	0	3	3	0	6	1	0	0	0	2	0	0	2	0	0	0	0	1	3	0	0	1	0	0	0	0	3	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	2	0	2	1	8	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	0	2	0	2	0	0	0	0	0	0	0	0	1	5	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	3	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3	3	0	0	0	1	0	0	1
Seth Godin's Blog on marketing, tribes and respect	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	2	0	2	2	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	1	0	3	4	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	0	0	1	0	0	0	0	7	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	1	0	0	0	3	2	0	0	2	1	1	0	2	1	0	0	0	1	0	1	0	0	1	0	0	0	1	3	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
